iter	MultiClass
0	1.828445852
1	1.70648897
2	1.625896125
3	1.538275303
4	1.473031091
5	1.388444761
6	1.316289064
7	1.248250408
8	1.189780696
9	1.145695571
10	1.094823501
11	1.056144104
12	1.02272569
13	0.9781463561
14	0.9504757328
15	0.9142079118
16	0.8784696216
17	0.8534552624
18	0.8194325921
19	0.7899431438
20	0.7624288801
21	0.7384219478
22	0.7155147427
23	0.6923991352
24	0.672111728
25	0.6530482841
26	0.6349430446
27	0.6159208916
28	0.5972487979
29	0.5817498964
30	0.5693313669
31	0.558783225
32	0.5489983635
33	0.5383521857
34	0.5264264746
35	0.51349233
36	0.5019210268
37	0.4890055789
38	0.4801377468
39	0.4723524561
40	0.4635781744
41	0.4528761731
42	0.4444686425
43	0.4365167535
44	0.4281430818
45	0.4189167548
46	0.4127336635
47	0.4047327896
48	0.397538244
49	0.3932661436
50	0.3865408481
51	0.3803585864
52	0.3728918442
53	0.3671512571
54	0.3602641589
55	0.3556146192
56	0.3492365178
57	0.3437436444
58	0.3386278435
59	0.3345620484
60	0.3306375179
61	0.3261396637
62	0.3226062771
63	0.3174583536
64	0.3125010868
65	0.3087477628
66	0.3050071254
67	0.3006544907
68	0.2971268051
69	0.2930409113
70	0.2892371255
71	0.2858721625
72	0.2830745133
73	0.2790630116
74	0.2748133414
75	0.2709614028
76	0.2685109991
77	0.2651131771
78	0.261668288
79	0.2586178325
80	0.2558988728
81	0.2530024097
82	0.2502952494
83	0.2479453526
84	0.2457471093
85	0.2433452322
86	0.2411459383
87	0.2392841935
88	0.2370043061
89	0.2345694148
90	0.2326827732
91	0.2299863823
92	0.2276310924
93	0.2254269026
94	0.2233178729
95	0.2214459318
96	0.2195436683
97	0.2173311896
98	0.2158073061
99	0.2138420683
100	0.2117658944
101	0.209913196
102	0.2082398273
103	0.2067418886
104	0.2051308536
105	0.2036880383
106	0.2021361593
107	0.200614481
108	0.1991221752
109	0.1973794338
110	0.1959473415
111	0.1945422249
112	0.1930359495
113	0.1916829543
114	0.1903358381
115	0.1892801414
116	0.188196775
117	0.1867694922
118	0.1852484091
119	0.184131803
120	0.1829314851
121	0.1818400148
122	0.1805471485
123	0.1794086893
124	0.1783827552
125	0.1772811129
126	0.1761982851
127	0.1751134664
128	0.1738596687
129	0.1728319876
130	0.1716941622
131	0.1706063417
132	0.1696096166
133	0.1687196494
134	0.1677728308
135	0.1666604214
136	0.1657456325
137	0.1647362211
138	0.163851103
139	0.1631385578
140	0.1622549637
141	0.1614070262
142	0.1606391585
143	0.1598821209
144	0.1590701243
145	0.1582704864
146	0.157546087
147	0.1567691562
148	0.1559799633
149	0.1552862046
150	0.1545776105
151	0.1538437497
152	0.1531785488
153	0.1525222162
154	0.1518745854
155	0.151179211
156	0.1504937837
157	0.1499324607
158	0.1491711573
159	0.1485464642
160	0.1479492973
161	0.1473597598
162	0.1467723016
163	0.1461974525
164	0.1456298338
165	0.1449332324
166	0.1442601253
167	0.1437101511
168	0.1431719529
169	0.1426403621
170	0.1420690651
171	0.1415915655
172	0.1411197283
173	0.1406127365
174	0.1400675318
175	0.1395294045
176	0.1390411097
177	0.1384485483
178	0.1379724989
179	0.137435462
180	0.1370077373
181	0.1365480903
182	0.13609374
183	0.1355809554
184	0.1349848687
185	0.134547504
186	0.1340761256
187	0.1335402494
188	0.1330809178
189	0.1326056534
190	0.1320906272
191	0.1316843424
192	0.1312466209
193	0.1308141219
194	0.1304524784
195	0.1300638521
196	0.1296794237
197	0.1291641768
198	0.1287553991
199	0.1283513622
200	0.1279519862
201	0.1274930268
202	0.127134742
203	0.1267802063
204	0.1263782991
205	0.126031424
206	0.1256881308
207	0.1253483658
208	0.1250120765
209	0.1247049238
210	0.1243453328
211	0.1239896954
212	0.1235784058
213	0.1232120556
214	0.1228965268
215	0.1225380911
216	0.1221158285
217	0.1217659871
218	0.1214203708
219	0.1210945563
220	0.1207564407
221	0.1204638831
222	0.120147843
223	0.1198610851
224	0.1195770725
225	0.1192234031
226	0.1189197867
227	0.118619297
228	0.1183466848
229	0.1180766268
230	0.1177846127
231	0.117419963
232	0.1171778305
233	0.1169182097
234	0.1166609718
235	0.1164060844
236	0.11613029
237	0.1158572181
238	0.1156094996
239	0.1153640053
240	0.1151207059
241	0.1148795725
242	0.1145752193
243	0.1143169147
244	0.114061087
245	0.1138463108
246	0.1135532541
247	0.1133253771
248	0.1130994738
249	0.1128692643
250	0.1126472454
251	0.1124271257
252	0.1121489643
253	0.1118678664
254	0.1116539725
255	0.1113784844
256	0.1111492306
257	0.1109411119
258	0.1107294454
259	0.1104929767
260	0.110290175
261	0.1100890456
262	0.1098895683
263	0.1096917228
264	0.1094954893
265	0.1093150572
266	0.109103878
267	0.1089123362
268	0.1087223312
269	0.1085338449
270	0.1083468591
271	0.1081613563
272	0.1079600262
273	0.1077775367
274	0.107596478
275	0.1074168334
276	0.1072385866
277	0.107010518
278	0.1068186757
279	0.106628449
280	0.1064398178
281	0.106252762
282	0.1060672622
283	0.105894587
284	0.1057396584
285	0.1055466014
286	0.1053667879
287	0.1051770741
288	0.1050153836
289	0.1048548953
290	0.1046805457
291	0.1045076019
292	0.104350801
293	0.1041804707
294	0.1040260331
295	0.103828287
296	0.1036620128
297	0.1035112071
298	0.1033474023
299	0.1031848808
300	0.1030236277
301	0.1028636283
302	0.1027048681
303	0.1025473328
304	0.1023910083
305	0.1022358809
306	0.1020949904
307	0.101942093
308	0.1017903541
309	0.1016293061
310	0.1014798509
311	0.1013440802
312	0.1011967385
313	0.1010504948
314	0.100905337
315	0.1007612531
316	0.1006302889
317	0.1005002094
318	0.1003590598
319	0.1002307803
320	0.1000915739
321	0.09996505812
322	0.09983938316
323	0.09971454076
324	0.09959052277
325	0.09946732114
326	0.09934492793
327	0.09923508496
328	0.09909328218
329	0.09897020585
330	0.09885097721
331	0.09872141334
332	0.09860377059
333	0.09848688387
334	0.098381962
335	0.09826648141
336	0.09815173643
337	0.09803772014
338	0.09792442571
339	0.09781184638
340	0.09769997547
341	0.09758880639
342	0.09747833266
343	0.09735805786
344	0.09725648033
345	0.09714804542
346	0.09704028086
347	0.09692291241
348	0.09680633277
349	0.09670063294
350	0.09659557884
351	0.09649116464
352	0.09638738458
353	0.09627430448
354	0.09617181895
355	0.09606995042
356	0.09595892854
357	0.095848634
358	0.09574866739
359	0.09564929571
360	0.09555051372
361	0.09544282763
362	0.09534524998
363	0.09523887235
364	0.09514073825
365	0.09503566957
366	0.09494042503
367	0.09483661861
368	0.09474251592
369	0.09464895781
370	0.09455593965
371	0.09445452095
372	0.09436260581
373	0.09426238569
374	0.09417155449
375	0.09405073076
376	0.09395238872
377	0.09385465613
378	0.09375752737
379	0.0936694859
380	0.09358193872
381	0.09349488171
382	0.09339992086
383	0.09331386565
384	0.09322828838
385	0.09313492274
386	0.09304212186
387	0.09295802005
388	0.09287438034
389	0.09278312179
390	0.09269240937
391	0.09261019647
392	0.09252843053
393	0.09244710796
394	0.09235835691
395	0.09227794092
396	0.09219795756
397	0.09211840339
398	0.09203155177
399	0.09194520817
400	0.09183703746
401	0.09175934145
402	0.09165707
403	0.09158029593
404	0.09150392659
405	0.09142795881
406	0.09135238947
407	0.09127721546
408	0.09120243371
409	0.09112804119
410	0.09102842812
411	0.09095491583
412	0.09088178335
413	0.09080184735
414	0.09072949232
415	0.09065750827
416	0.09057881337
417	0.09050758885
418	0.09043672678
419	0.09035924465
420	0.09028912472
421	0.09021245199
422	0.09014306278
423	0.0900740223
424	0.09000532795
425	0.08993697715
426	0.08986896734
427	0.089801296
428	0.08973396063
429	0.08965408308
430	0.08958746481
431	0.08952117492
432	0.089455211
433	0.08938297525
434	0.08931767952
435	0.08925270256
436	0.08918153601
437	0.08911074998
438	0.08905079635
439	0.08898069587
440	0.08891732273
441	0.08885425463
442	0.08879708343
443	0.08872829661
444	0.08866612121
445	0.08860424238
446	0.08852210252
447	0.08845859858
448	0.08839155302
449	0.08833093453
450	0.08827060193
451	0.08821055321
452	0.08815078638
453	0.08809129947
454	0.08803209053
455	0.08797315764
456	0.08790855968
457	0.0878501931
458	0.08779209677
459	0.08771486949
460	0.08765737659
461	0.08760014814
462	0.08753740276
463	0.08748071698
464	0.08742429015
465	0.08736812053
466	0.0873065187
467	0.08725087697
468	0.08719548716
469	0.08714034757
470	0.08707985857
471	0.08701966952
472	0.08696869653
473	0.08690904804
474	0.08684969331
475	0.08679607356
476	0.08672466525
477	0.08667158208
478	0.08661336524
479	0.08656076802
480	0.08650657085
481	0.08645443636
482	0.08640253085
483	0.08632949148
484	0.08627811077
485	0.0862217545
486	0.08617083714
487	0.08612014101
488	0.08606452776
489	0.08601428586
490	0.08596426085
491	0.08591445131
492	0.08586485588
493	0.08581547316
494	0.08576630181
495	0.08571734047
496	0.08566358912
497	0.08561505921
498	0.08556178099
499	0.08551663117
500	0.08546871551
501	0.08542100196
502	0.08537348925
503	0.08532617611
504	0.08527906129
505	0.08523214355
506	0.08518542167
507	0.08513889442
508	0.08508776589
509	0.08504163877
510	0.08499570262
511	0.08494521729
512	0.08489967378
513	0.08484961972
514	0.0848044639
515	0.08475483567
516	0.08471006266
517	0.08466085492
518	0.08460757439
519	0.08456338974
520	0.08451938437
521	0.08447555717
522	0.08443190709
523	0.08438843303
524	0.08434513396
525	0.08430200881
526	0.08425905653
527	0.0842162761
528	0.08417366649
529	0.08412678138
530	0.08408452328
531	0.08404243291
532	0.08400050928
533	0.08395875139
534	0.08391715828
535	0.08387572897
536	0.08383446249
537	0.08378902414
538	0.08374809293
539	0.08370732165
540	0.08366670938
541	0.08362625519
542	0.08357075568
543	0.08353066694
544	0.08349073332
545	0.08345095394
546	0.08341132791
547	0.08337420745
548	0.08333487476
549	0.08329569285
550	0.08325899109
551	0.08321594358
552	0.08317721004
553	0.08313862389
554	0.08310018429
555	0.0830618904
556	0.08302374139
557	0.08298573646
558	0.08294787478
559	0.08291015555
560	0.08286853584
561	0.08283111031
562	0.0827938248
563	0.08275667853
564	0.08271967072
565	0.0826828006
566	0.08262988662
567	0.08258939525
568	0.08255299096
569	0.08251672115
570	0.08248058506
571	0.082440693
572	0.08240483273
573	0.08236524557
574	0.08232581967
575	0.08228655405
576	0.08225124639
577	0.08221606723
578	0.08218101587
579	0.08214232288
580	0.08210753514
581	0.08207287309
582	0.08203833606
583	0.08200392337
584	0.08196592402
585	0.08192807645
586	0.08189037974
587	0.08185648697
588	0.08182271512
589	0.08178542843
590	0.08175190604
591	0.08171850262
592	0.08168161935
593	0.08164846137
594	0.08161542044
595	0.08158249594
596	0.08154968725
597	0.08151699378
598	0.0814844149
599	0.08145195002
600	0.0814051042
601	0.0813729051
602	0.08134081811
603	0.08130536509
604	0.08127350952
605	0.08123831263
606	0.08120668599
607	0.08117516852
608	0.08114375964
609	0.08110904988
610	0.08107786518
611	0.08104678738
612	0.08101581591
613	0.08098495024
614	0.08095418983
615	0.08092018388
616	0.08088630683
617	0.08085587577
618	0.08082554778
619	0.08079202082
620	0.08075862006
621	0.08072534479
622	0.08069544837
623	0.08066565234
624	0.08063271798
625	0.08060312925
626	0.08057363939
627	0.08054424788
628	0.08051495425
629	0.08048575801
630	0.08045051496
631	0.08042152975
632	0.08039264042
633	0.0803638465
634	0.08033514751
635	0.08030654298
636	0.08027803245
637	0.08024961546
