iter	Passed	Remaining
0	144	144013
1	147	73762
2	157	52281
3	159	39668
4	167	33426
5	174	28828
6	177	25179
7	180	22418
8	183	20207
9	189	18730
10	192	17306
11	199	16425
12	204	15494
13	208	14679
14	216	14203
15	220	13532
16	221	12832
17	224	12255
18	227	11744
19	229	11222
20	231	10784
21	233	10392
22	235	9987
23	236	9609
24	238	9289
25	241	9062
26	246	8869
27	249	8670
28	254	8508
29	256	8288
30	258	8085
31	262	7932
32	264	7742
33	268	7619
34	270	7450
35	272	7287
36	277	7214
37	279	7086
38	283	6996
39	290	6960
40	291	6820
41	293	6696
42	296	6609
43	300	6523
44	302	6418
45	304	6314
46	307	6225
47	309	6135
48	311	6041
49	315	5998
50	320	5957
51	325	5930
52	330	5913
53	337	5916
54	341	5861
55	343	5784
56	345	5711
57	352	5732
58	355	5666
59	358	5623
60	364	5608
61	370	5605
62	375	5582
63	378	5541
64	383	5514
65	386	5466
66	391	5446
67	392	5379
68	399	5386
69	400	5323
70	404	5288
71	408	5262
72	415	5275
73	419	5251
74	423	5222
75	425	5174
76	430	5164
77	433	5119
78	436	5092
79	440	5065
80	444	5046
81	448	5020
82	450	4979
83	454	4953
84	457	4928
85	463	4928
86	467	4905
87	471	4882
88	476	4881
89	482	4877
90	486	4856
91	488	4820
92	490	4784
93	497	4799
94	501	4778
95	505	4757
96	512	4768
97	515	4748
98	519	4728
99	524	4721
100	530	4718
101	533	4700
102	537	4681
103	543	4680
104	547	4663
105	550	4645
106	554	4627
107	560	4626
108	564	4610
109	567	4592
110	573	4589
111	576	4573
112	580	4556
113	584	4539
114	588	4526
115	591	4509
116	595	4492
117	597	4464
118	600	4447
119	605	4437
120	608	4423
121	612	4408
122	616	4393
123	620	4381
124	623	4367
125	627	4354
126	631	4340
127	635	4326
128	639	4316
129	642	4302
130	645	4279
131	648	4265
132	652	4254
133	658	4253
134	661	4240
135	665	4229
136	671	4232
137	673	4209
138	677	4197
139	681	4184
140	685	4173
141	688	4161
142	692	4152
143	696	4140
144	700	4132
145	704	4120
146	708	4110
147	712	4099
148	715	4088
149	719	4078
150	723	4067
151	728	4062
152	732	4053
153	736	4043
154	740	4035
155	744	4025
156	748	4016
157	751	4006
158	754	3990
159	758	3981
160	762	3973
161	766	3967
162	770	3958
163	775	3950
164	778	3940
165	781	3925
166	785	3917
167	789	3909
168	793	3899
169	797	3894
170	801	3885
171	805	3879
172	810	3872
173	814	3866
174	819	3861
175	823	3854
176	827	3846
177	831	3841
178	835	3832
179	839	3824
180	843	3814
181	847	3810
182	851	3802
183	855	3793
184	860	3789
185	865	3786
186	869	3780
187	873	3773
188	877	3767
189	882	3761
190	886	3753
191	890	3747
192	894	3740
193	898	3732
194	902	3724
195	906	3718
196	911	3714
197	916	3713
198	922	3713
199	928	3712
200	933	3710
201	936	3700
202	942	3700
203	948	3699
204	953	3697
205	958	3696
206	964	3693
207	969	3693
208	975	3693
209	981	3693
210	987	3693
211	993	3693
212	997	3684
213	1004	3688
214	1010	3690
215	1016	3689
216	1022	3689
217	1027	3685
218	1031	3678
219	1035	3670
220	1038	3661
221	1042	3653
222	1047	3650
223	1052	3647
224	1058	3645
225	1063	3641
226	1067	3636
227	1074	3638
228	1080	3637
229	1084	3632
230	1088	3623
231	1092	3616
232	1096	3608
233	1100	3601
234	1103	3593
235	1107	3586
236	1111	3579
237	1115	3572
238	1119	3565
239	1124	3559
240	1128	3553
241	1132	3546
242	1137	3543
243	1143	3541
244	1149	3542
245	1157	3548
246	1165	3554
247	1172	3554
248	1180	3560
249	1188	3566
250	1195	3567
251	1205	3578
252	1214	3585
253	1219	3582
254	1227	3585
255	1231	3578
256	1237	3577
257	1242	3574
258	1247	3568
259	1252	3565
260	1256	3558
261	1260	3550
262	1264	3542
263	1268	3535
264	1271	3527
265	1275	3519
266	1279	3511
267	1283	3505
268	1286	3496
269	1290	3488
270	1294	3481
271	1298	3474
272	1301	3466
273	1305	3459
274	1309	3452
275	1313	3445
276	1317	3438
277	1320	3430
278	1324	3422
279	1328	3415
280	1332	3409
281	1336	3403
282	1342	3401
283	1346	3394
284	1350	3387
285	1353	3380
286	1357	3372
287	1361	3366
288	1365	3359
289	1369	3354
290	1374	3349
291	1378	3342
292	1382	3335
293	1385	3327
294	1389	3320
295	1393	3313
296	1396	3306
297	1400	3299
298	1404	3291
299	1407	3284
300	1411	3278
301	1415	3271
302	1419	3265
303	1423	3258
304	1427	3252
305	1430	3245
306	1434	3239
307	1438	3232
308	1442	3226
309	1446	3219
310	1463	3242
311	1467	3235
312	1471	3229
313	1475	3222
314	1478	3216
315	1482	3209
316	1486	3202
317	1490	3195
318	1493	3189
319	1497	3181
320	1501	3175
321	1504	3168
322	1508	3161
323	1511	3154
324	1515	3147
325	1519	3141
326	1523	3135
327	1527	3128
328	1530	3121
329	1534	3115
330	1538	3109
331	1541	3102
332	1545	3095
333	1549	3088
334	1552	3082
335	1556	3076
336	1560	3070
337	1564	3063
338	1567	3056
339	1571	3050
340	1575	3044
341	1578	3037
342	1582	3032
343	1587	3027
344	1592	3024
345	1597	3018
346	1600	3012
347	1604	3006
348	1608	3000
349	1612	2994
350	1616	2989
351	1620	2983
352	1624	2977
353	1628	2971
354	1632	2965
355	1635	2958
356	1639	2952
357	1643	2946
358	1647	2940
359	1650	2934
360	1654	2928
361	1658	2922
362	1661	2916
363	1665	2909
364	1669	2903
365	1672	2897
366	1676	2892
367	1680	2885
368	1684	2879
369	1687	2873
370	1691	2867
371	1694	2861
372	1698	2855
373	1702	2849
374	1706	2843
375	1712	2841
376	1717	2838
377	1721	2832
378	1725	2826
379	1728	2820
380	1732	2814
381	1738	2812
382	1742	2806
383	1745	2800
384	1750	2796
385	1754	2790
386	1758	2785
387	1762	2779
388	1766	2774
389	1770	2768
390	1773	2762
391	1777	2756
392	1781	2751
393	1785	2746
394	1790	2742
395	1795	2737
396	1799	2733
397	1803	2727
398	1807	2722
399	1811	2717
400	1814	2710
401	1818	2705
402	1822	2700
403	1827	2696
404	1836	2697
405	1848	2704
406	1858	2707
407	1869	2713
408	1880	2717
409	1887	2716
410	1896	2717
411	1901	2713
412	1905	2708
